,Order Date
0,16
1,8
2,12
3,10
4,2
5,18
6,22
7,13
8,21
9,13
10,4
11,11
12,21
13,12
14,20
15,2
16,17
17,20
18,17
19,19
20,20
21,9
22,17
23,13
24,23
25,12
26,12
27,9
28,17
29,21
30,15
31,5
32,10
33,23
34,22
35,21
36,22
37,9
38,8
39,17
40,19
41,12
42,16
43,2
44,18
45,14
46,20
47,10
48,21
49,13
50,8
51,5
52,9
53,9
54,20
55,12
56,1
57,11
58,15
59,17
60,11
61,14
62,9
63,14
64,19
65,16
66,10
67,22
68,12
69,23
70,11
71,0
72,12
73,0
74,21
75,12
76,11
77,16
78,9
79,20
80,18
81,10
82,18
83,21
84,18
85,16
86,16
87,16
88,3
89,17
90,20
91,11
92,18
93,17
94,2
95,21
96,16
97,11
98,0
99,7
100,12
101,17
102,10
103,14
104,17
105,14
106,8
107,22
108,8
109,13
110,10
111,11
112,17
113,18
114,14
115,0
116,12
117,16
118,10
119,10
120,10
121,11
122,19
123,9
124,18
125,18
126,9
127,12
128,10
129,20
130,14
131,11
132,20
133,8
134,8
135,10
136,11
137,20
138,23
139,15
140,17
141,17
142,23
143,18
144,16
145,20
146,8
147,18
148,14
149,17
150,11
151,8
152,2
153,13
154,22
155,19
156,21
157,19
158,20
159,8
160,13
161,18
162,20
163,8
164,12
165,2
166,15
167,10
168,14
169,13
170,13
171,19
172,10
173,18
174,15
175,9
176,21
177,15
178,11
179,11
180,11
181,22
182,17
183,16
184,11
185,15
186,10
187,11
188,13
189,13
190,19
191,12
192,18
193,22
194,16
195,16
196,20
197,11
198,7
200,0
201,14
202,14
203,13
204,11
205,20
206,1
207,16
208,22
209,7
210,13
211,13
212,13
213,23
214,23
215,11
216,13
217,13
218,22
219,8
220,6
221,19
222,9
223,16
224,17
225,8
226,8
227,11
228,7
229,0
230,20
231,20
232,12
233,21
234,21
235,9
236,10
237,20
238,9
239,9
240,21
241,13
242,10
243,21
244,21
245,14
246,17
247,11
248,18
249,20
250,18
251,7
252,20
253,20
254,13
255,21
256,16
257,23
258,23
259,13
260,19
261,9
262,19
263,0
264,18
265,10
266,6
267,6
268,17
269,18
