,name,price
0,"Loa bluetooth mini không dây,nghe nhạc,giá rẻ,công nghệ blutooth 5.0 BINTECH",60.000
1,"Tai nghe bluetooth MINPRO M10 PRO, tai nghe không dây nghe nhạc chơi game công nghệ bluetooth 5.0",119.000
2,Dầu Mỡ VCK Lube Switch/Stab | GPL 105/205G0 | Permatex XHT-BDZ | Krytox Gateron Akko Cherry Jwick KTT | VCK,26.868 - 99.999
3,Bộ Mở Rộng Sóng Wifi Totolink EX200 Chuẩn N Tốc Độ 300Mbps - Hãng phân phối chính thức,179.000 - 191.000
4,QKCASE - Loa Bluetooth Mini - Loa Trứng Nhấp Nháy (Loa Blt),13.900 - 40.000
5,"Tai nghe chụp tai không dây bluetooth STN28 màu sắc cute,âm thanh ấm bass mạnh- Phụ Kiện 123",85.000 - 199.000
6,Switch phím cơ Coputa trục cơ bàn phím Blue Switch/Red Switch/Brown Switch/Black Switch,2.500 - 10.000
7,Miếng dán màn hình HD cho Mácbook ( tặng bộ khăn lâu và hỗ trợ dán màn chuyên nghiệp ),50.000
8,"Loa bluetooth mini CHARGE 311 không dây, nghe nhạc, giá rẻ, âm thanh chất lượng MINPRO",89.000
9,"Tai Nghe Bluetooth M10 Pro Tai Nghe Không M10 Pro Phiên Bản Nâng Cấp Pin Trâu, Nút Cảm Ứng Tự Động Kết Nối - BINTECH",125.000
10,Chuột Logitech G102 gaming chuột chơi game có dây G102 Led RGB 8000DPI - Hàng nhập khẩu- Có Đèn LED . Chuột Dây Logitech,15.000 - 60.000
11,bộ phát wifi tplink cục phát wifi tplink 2 râu wr 842N giá rẻ,20.000 - 95.000
12,Loa xách tay bluetooth speaker H.S.L.H Âm thanh đỉnh cao BT 201 Bảo Hành Chính Hãng 6 tháng 1 đổi 1,97.600 - 164.000
13,Tai nghe bluetooth không dây I7S  TWS có micro hỗ trợ tập thể thao thích hợp cho Apple IPhone Xiaomi,52.500
14,[Chính hãng] Switch lẻ thay nóng cho bàn phím cơ AKKO CS switch| Jelly switch &amp; TTC switch - Hàng mới 100%,5.100 - 14.990
15,Quạt Tản Nhiệt - Fan Led RGB Cắm nguồn trực tiếp không qua HUB WM Star V8  S2 33 Bóng,36.666 - 39.000
16,"Mic Karaoke Ws-858, Micro Bluetooth Không Dây Kèm Loa, Vừa Nghe Nhạc Vừa Hát Karaoke",15.000 - 69.500
17,"Tai nghe bluetooth 5.0 True Wireless Amoi F9 Pro bản quốc tế cao cấp cảm biến vân tay , kiêm sạc dự phòng",99.000
18,"Chuột chơi game, chuột máy tính có dây LOGITECH G102 RBG Độ Chính Xác Cao 8000DPI [ Bảo Hành 12 Tháng 1 Đổi 1] Hàng OEM",124.000 - 129.000
19,MICRO USB HUB Bộ chuyển đổi FONKEN nối 3 cổng cắm Type-C/ V8 USB với chui cắm  Micro USB dây cáp OTG cho Samsung Huawei,8.000 - 36.000
20,"Loa bluetooth đồng hồ G5, loa mini không dây nghe nhạc làm đèn ngủ màn hình soi gương",119.000 - 165.000
21,"Tai nghe Bluetooth không dây 5.0 BINTECH - Phiên Bản Pro Nâng Cấp Pin Trâu 3000mah, Nút Cảm Ứng, Màn Hình Led Gaming",99.000 - 125.000
22,"Bộ bàn phím kèm chuột gaming có dây giả cơ tích hợp bật tắt chế độ đèn led tiện lợi dành cho game thủ, văn phòng",43.000 - 125.000
23,"Bộ phát wifi 4 râu ,cục phát wifi 4 râu xuyên tường tốc độ cao đẹp, chất lượng",100.000
